,basin_id,latitude,longitude,pax_strength,regions
556,2397,42.2125,-83.3533,36774.323,North America
557,2398,41.9389,-72.6833,6648.164,North America
558,2400,35.2567,-113.9422,265.77,North America
559,2401,35.2369,-120.6419,593.201,North America
560,2406,40.1936,-76.7633,1504.316,North America
561,2407,42.5569,-92.4003,47.008,North America
562,2408,42.7483,-73.8017,2993.324,North America
563,2410,37.4375,-105.8664,20.106,North America
564,2411,41.5869,-83.8078,248.436,North America
565,2415,40.6522,-75.4408,871.102,North America
566,2416,32.4114,-99.6819,163.632,North America
567,2417,35.0406,-106.6094,5463.206,North America
568,2420,33.5631,-86.7536,3032.232,North America
569,2424,40.2758,-79.4047,329.13,North America
570,2428,41.8031,-78.64,8.588,North America
571,2429,47.4489,-122.3094,52673.573,North America
572,2432,39.8719,-75.2411,33020.608,North America
573,2434,32.3542,-95.4025,119.63,North America
574,2435,35.8111,-83.9942,2480.634,North America
575,2436,35.1619,-114.56,268.996,North America
576,2437,36.8947,-76.2011,4404.161,North America
577,2440,39.345,-81.4392,10.502,North America
578,2441,33.4342,-112.0117,48056.163,North America
579,2443,39.7081,-77.7294,58.772,North America
580,2449,41.1783,-78.8986,11.67,North America
581,2453,41.3031,-95.8942,5023.674,North America
582,2454,42.4911,-76.4608,218.504,North America
583,2456,41.1694,-71.5833,71.096,North America
584,2461,44.3853,-74.2061,9.714,North America
